C C
C1=CCOCC1 C1=CC[CH2:1]OC1
C1=CCOCC1 C1=C[CH2:1]COC1
C1=CCOCC1 C1=C[CH2:1]OCC1
C1=CCOCC1 C1=C[CH2:1][CH2:1]OC1
C1=CCOCC1 C1=[CH:1]CCOC1
C1=CCOCC1 C1=[CH:1]COCC1
C1=CCOCC1 C1=[CH:1][CH2:1]OCC1
C1=CCOCCC1 C1=CCO[CH2:1]CC1
C1=CCOCCC1 C1=CC[CH2:1]COC1
C1=CCOCCC1 C1=CC[CH2:1][CH2:1]OC1
C1=CCOCCC1 C1=C[CH2:1]CCOC1
C1=CCOCCC1 C1=C[CH2:1]OCCC1
C1=CCOCCC1 C1=C[CH2:1][CH2:1]COC1
C1=CCOCCC1 C1=[CH:1]CCCOC1
C1=CCOCCC1 C1=[CH:1]COCCC1
C1=CCOCCC1 C1=[CH:1][CH2:1]CCOC1
C1=CCOCCC1 C1COC[CH:1]=[CH:1]C1
C1=CCOOC1 C1=C[CH2:1]OOC1
C1=CCOOC1 C1=[CH:1]COOC1
C1=CCOOC1 C1=[CH:1][CH2:1]OOC1
C1=CCSC1 C1=C[CH2:1]SC1
C1=CCSC1 C1=[CH:1]CSC1
C1=CCSC1 C1=[CH:1][CH2:1]SC1
C1=CCSC=1 C1=CCS[CH:1]=1
C1=CCSC=1 C1=CS[CH2:1]C=1
C1=CCSC=C1 C1=CCS[CH:1]=C1
C1=CCSC=C1 C1=CSC[CH:1]=C1
C1=CCSC=C1 C1=CS[CH2:1]C=C1
C1=CCSC=C1 C1=CS[CH2:1][CH:1]=C1
C1=CCSC=C1 C1=C[CH:1]=CCS1
C1=CCSC=C1 C1=C[CH:1]=CSC1
C1=CCSC=C1 C1=C[CH:1]=[CH:1]SC1
C1=CCSC=CC1 C1=CCS[CH:1]=CC1
C1=CCSC=CC1 C1=CC[CH:1]=CSC1
C1=CCSC=CC1 C1=CSCC=[CH:1]C1
C1=CCSC=CC1 C1=CSC[CH:1]=CC1
C1=CCSC=CC1 C1=CS[CH2:1]C=CC1
C1=CCSC=CC1 C1=C[CH2:1]C=CSC1
C1=CCSC=CC1 C1=C[CH2:1][CH:1]=CCS1
C1=CCSCC1 C1=CC[CH2:1]SC1
C1=CCSCC1 C1=C[CH2:1]CSC1
C1=CCSCC1 C1=C[CH2:1]SCC1
C1=CCSCC1 C1=C[CH2:1][CH2:1]SC1
C1=CCSCC1 C1=[CH:1]CCSC1
C1=CCSCC1 C1=[CH:1]CSCC1
C1=CCSCC1 C1=[CH:1][CH2:1]SCC1
C1=CCSCC1 C1C[CH:1]=[CH:1]CS1
C1=CCSCC=C1 C1=CCSC[CH:1]=C1
C1=CCSCC=C1 C1=CCS[CH2:1]C=C1
C1=CCSCC=C1 C1=CCS[CH2:1][CH:1]=C1
C1=CCSCC=C1 C1=C[CH:1]=CCSC1
C1=CC[SH]=CC1 C1=CC[CH:1]=[SH]C1
C1=CC[SH]=CC1 C1=CC[SH:1]=CC1
C1=CC[SH]=CC1 C1=C[CH2:1]C=[SH]C1
C1=CC[SH]=CC1 C1=C[CH2:1][SH]=CC1
C1=CC[SH]=CC1 C1=[SH]CC=[CH:1]C1
C1=CC[SH]=CC1 C1=[SH]CC=[CH:1][CH2:1]1
C1=CC[SH]=CC1 C1=[SH]C[CH:1]=CC1
C1=CN1 C1=C[NH:1]1
C1=CN1 C1=[CH:1]N1
C1=CN1 C1=[CH:1][NH:1]1
C1=CN1 N1[CH:1]=[CH:1]1
C1=CN=C1 C1=C[CH:1]=N1
C1=CN=C1 C1=NC=[CH:1]1
C1=CN=C1 C1=N[CH:1]=C1
C1=CN=C1 C1=N[CH:1]=[CH:1]1
C1=CN=C1 C1=[CH:1][CH:1]=N1
C1=CN=CC1 C1=CN=[CH:1]C1
C1=CN=CC1 C1=C[CH2:1]C=N1
C1=CN=CC1 C1=C[CH2:1][CH:1]=N1
C1=CN=CC1 C1=NC=[CH:1]C1
C1=CN=CC1 C1=NC=[CH:1][CH2:1]1
C1=CN=CC1 C1=N[CH:1]=CC1
C1=CN=CC1 C1=N[CH:1]=[CH:1]C1
C1=CN=CC=N1 C1=CN=[CH:1]C=N1
C1=CN=CC=N1 C1=NC=[CH:1]N=C1
C1=CN=CCC1 C1=CN=C[CH2:1]C1
C1=CN=CCC1 C1=CN=[CH:1]CC1
C1=CN=CCC1 C1=C[CH2:1]CC=N1
C1=CN=CCC1 C1=C[CH2:1][CH2:1]C=N1
C1=CN=CCC1 C1=NC=[CH:1]CC1
C1=CN=CCC1 C1=N[CH:1]=CCC1
C1=CN=CCC1 C1=N[CH:1]=[CH:1]CC1
C1=CN=CN=C1 C1=CN=[CH:1]N=C1
C1=CN=CN=C1 C1=C[CH:1]=NC=N1
C1=CN=CN=C1 C1=NC=N[CH:1]=C1
C1=CN=CN=C1 C1=NC=[CH:1]C=N1
C1=CN=CN=CN=C1 C1=CN=[CH:1]N=CN=C1
C1=CN=CN=CN=C1 C1=C[CH:1]=NC=NC=N1
C1=CN=CN=CN=C1 C1=NC=NC=N[CH:1]=C1
C1=CN=CN=CN=C1 C1=NC=NC=[CH:1]C=N1
C1=CN=CNC=C1 C1=CN=CN[CH:1]=C1
C1=CN=CNC=C1 C1=CN=C[NH:1]C=C1
C1=CN=CNC=C1 C1=CN=[CH:1]NC=C1
C1=CN=CNC=C1 C1=CNC=N[CH:1]=C1
C1=CN=CNC=C1 C1=C[CH:1]=CN=CN1
C1=CN=CNC=C1 C1=C[CH:1]=CNC=N1
C1=CN=N1 C1=[CH:1]N=N1
C1=CN=N1 N1=N[CH:1]=[CH:1]1
C1=CN=NC1 C1=C[CH2:1]N=N1
C1=CN=NC1 C1=[CH:1]CN=N1
C1=CN=NC1 C1=[CH:1]N=NC1
C1=CN=NC=C1 C1=CN=N[CH:1]=C1
C1=CN=NC=C1 C1=C[CH:1]=CN=N1
C1=CN=NC=C1 C1=[CH:1][CH:1]=CN=N1
C1=CN=NC=N1 C1=CN=[CH:1]N=N1
C1=CN=NC=N1 C1=NC=[CH:1]N=N1
C1=CN=NC=N1 C1=N[CH:1]=CN=N1
C1=CN=NN=C1 C1=C[CH:1]=NN=N1
C1=CN=NN=C1 C1=NN=N[CH:1]=C1
C1=CN=NN=C1 C1=[CH:1]C=NN=N1
C1=CN=NNC=C1 C1=CN=NN[CH:1]=C1
C1=CN=NNC=C1 C1=CN=N[NH:1]C=C1
C1=CN=NNC=C1 C1=CNN=N[CH:1]=C1
C1=CN=NNC=C1 C1=C[CH:1]=CN=NN1
C1=CN=NNC=C1 C1=C[CH:1]=CNN=N1
C1=CNC1 C1=C[CH2:1]N1
C1=CNC1 C1=C[NH:1]C1
C1=CNC1 C1=C[NH:1][CH2:1]1
C1=CNC1 C1=[CH:1]CN1
C1=CNC1 C1=[CH:1]NC1
C1=CNC=1 C1=CN[CH:1]=1
C1=CNC=1 C1=C[NH:1]C=1
C1=CNC=CC1 C1=CNC=[CH:1]C1
C1=CNC=CC1 C1=CN[CH:1]=CC1
C1=CNC=CC1 C1=CN[CH:1]=[CH:1]C1
C1=CNC=CC1 C1=C[CH2:1]C=CN1
C1=CNC=CC1 C1=C[CH2:1][CH:1]=CN1
C1=CNC=CC1 C1=C[NH:1]C=CC1
C1=CNC=CC1 C1=C[NH:1][CH:1]=CC1
C1=CNC=CN1 C1=CN[CH:1]=CN1
C1=CNC=CN1 C1=C[NH:1]C=CN1
C1=CNCC1 C1=CN[CH2:1]C1
C1=CNCC1 C1=C[CH2:1]CN1
C1=CNCC1 C1=C[CH2:1][CH2:1]N1
C1=CNCC1 C1=C[NH:1]CC1
C1=CNCC1 C1=[CH:1]CCN1
C1=CNCC1 C1=[CH:1]NCC1
C1=CNCC1 C1C[CH:1]=[CH:1]N1
C1=CNCC=N1 C1=CNC[CH:1]=N1
C1=CNCC=N1 C1=CN[CH2:1]C=N1
C1=CNCC=N1 C1=C[NH:1]CC=N1
C1=CNCC=N1 C1=C[NH:1][CH2:1]C=N1
C1=CNCC=N1 C1=NC=[CH:1]NC1
C1=CNCC=N1 C1=N[CH:1]=CNC1
C1=CNCC=N1 C1=N[CH:1]=[CH:1]NC1
C1=CNCCC1 C1=CNC[CH2:1]C1
C1=CNCCC1 C1=CN[CH2:1]CC1
C1=CNCCC1 C1=CN[CH2:1][CH2:1]C1
C1=CNCCC1 C1=C[CH2:1]CCN1
C1=CNCCC1 C1=C[NH:1]CCC1
C1=CNCCC1 C1=[CH:1]CCCN1
C1=CNCCC1 C1=[CH:1]NCCC1
C1=CNCCC1 C1=[CH:1][CH2:1]CCN1
C1=CNCCC1 C1CN[CH:1]=[CH:1]C1
C1=CNCCCC1 C1=CNCC[CH2:1]C1
C1=CNCCCC1 C1=CNC[CH2:1]CC1
C1=CNCCCC1 C1=CN[CH2:1]CCC1
C1=CNCCCC1 C1=C[CH2:1]CCCN1
C1=CNCCCC1 C1=C[NH:1]CCCC1
C1=CNCCCC1 C1=[CH:1]CCCCN1
C1=CNCCCC1 C1=[CH:1]NCCCC1
C1=CNCCN1 C1=CN[CH2:1]CN1
C1=CNCCN1 C1=C[NH:1]CCN1
C1=CNCCN1 C1=[CH:1]NCCN1
C1=CNCCN1 C1CN[CH:1]=[CH:1]N1
C1=CNCN1 C1=CN[CH2:1]N1
C1=CNCN1 C1=C[NH:1]CN1
C1=CNCN1 C1=[CH:1]NCN1
C1=CNCN1 C1N[CH:1]=[CH:1]N1
C1=CNCN=CC1 C1=CNCN=[CH:1]C1
C1=CNCN=CC1 C1=CN[CH2:1]N=CC1
C1=CNCN=CC1 C1=C[CH2:1]C=NCN1
C1=CNCN=CC1 C1=C[NH:1]CN=CC1
C1=CNCN=CC1 C1=NCN[CH:1]=CC1
C1=CNCOC1 C1=CN[CH2:1]OC1
C1=CNCOC1 C1=C[CH2:1]OCN1
C1=CNCOC1 C1=C[NH:1]COC1
C1=CNCOC1 C1=C[NH:1][CH2:1]OC1
C1=CNCOC1 C1=[CH:1]COCN1
C1=CNCOC1 C1=[CH:1]NCOC1
C1=CNCOC=C1 C1=COCN[CH:1]=C1
C1=CNCOC=C1 C1=C[CH:1]=CNCO1
C1=CNCOC=C1 C1=C[CH:1]=[CH:1]NCO1
C1=CNCSC1 C1=CN[CH2:1]SC1
C1=CNCSC1 C1=C[CH2:1]SCN1
C1=CNCSC1 C1=[CH:1]CSCN1
C1=CNCSC1 C1=[CH:1]NCSC1
C1=CNN=CN1 C1=CN[CH:1]=NN1
C1=CNN=CN1 C1=C[NH:1]C=NN1
C1=CNN=CN1 C1=C[NH:1]N=CN1
C1=CNN=CN1 C1=NNC=[CH:1]N1
C1=CNN=CN1 C1=NN[CH:1]=CN1
C1=CNN=CN=C1 C1=CNN=[CH:1]N=C1
C1=CNN=CN=C1 C1=C[CH:1]=NC=NN1
C1=CNN=CN=C1 C1=C[NH:1]N=CN=C1
C1=CNN=CN=C1 C1=NC=NNC=[CH:1]1
C1=CNN=CN=C1 C1=NC=NN[CH:1]=C1
C1=CNN=NC1 C1=C[CH2:1]N=NN1
C1=CNN=NC1 C1=[CH:1]CN=NN1
C1=CNN=NC1 C1=[CH:1]NN=NC1
C1=CNN=NN1 C1=C[NH:1]N=NN1
C1=CNN=NN1 C1=[CH:1]NN=NN1
C1=CNN=NN=C1 C1=C[CH:1]=NN=NN1
C1=CNN=NN=C1 C1=C[NH:1]N=NN=C1
C1=CNN=NN=C1 C1=NN=NNC=[CH:1]1
C1=CNN=NN=C1 C1=NN=NN[CH:1]=C1
