Unnamed: 0,branch_smiles,id2mof,metal_node,mof_index,organic_core,randomized,topology,train/test
95,Oc1cc(O)cc(C2CC(c3cc(O)cc(O)c3)C([Lr])(c3cc(O)cc(O)c3)C(c3cc(O)cc(O)c3)N2[Lr])c1,0,sym_7_mc_4,1248.0,None,False,acs,1
98,[Lr]C1=C(c2ccccc2)C(C(c2ccccc2)c2ccccc2)=C(c2c([Lr])cc(-c3ccccc3)cc2-c2ccccc2)C1,0,sym_7_mc_4,1269.0,None,False,acs,1
99,Oc1ccc(C2=C([Lr])C3=C(C=C([Lr])C(c4ccc(O)cc4)C(c4ccc(O)cc4)=C3c3ccc(O)cc3)C2)cc1,0,sym_7_mc_4,1271.0,None,False,acs,1
100,Oc1cc(O)cc(C2=C3C(=C(c4cc(O)cc(O)c4)C([Lr])=CC2)C(Br)=C([Lr])C3c2cc(O)cc(O)c2)c1,0,sym_7_mc_4,1279.0,None,False,acs,1
101,[Lr]N1C=CC(C2(c3ccccc3)C(c3ccccc3)=CN([Lr])C(c3ccccc3)=C2c2ccccc2)C(c2ccccc2)=C1,0,sym_7_mc_4,1284.0,None,False,acs,1
102,[Lr]c1cc2ccc3c(-c4ccncc4)c([Lr])c(-c4ccncc4)c4c(-c5ccncc5)c(-c5ccncc5)c(c1)c2c34,0,sym_7_mc_4,1300.0,None,False,acs,1
103,O=S(=O)(O)c1cc(S(=O)(=O)O)c(-c2cn([Lr])nc2S(=O)(=O)O)cc1-c1cn([Lr])cc1S(=O)(=O)O,0,sym_7_mc_4,1320.0,None,False,acs,1
104,[Lr]n1cc(-c2cc(-c3cncnc3)c(-c3cncnc3)c(-c3cc(-c4cncnc4)n([Lr])c3)c2-c2cncnc2)cn1,0,sym_7_mc_4,1321.0,None,False,acs,1
105,O=C1c2cc(-c3ccc(O)cc3)c([Lr])c(-c3ccc(O)cc3)c2C(=O)c2cc([Lr])cc(-c3ccc(O)cc3)c21,0,sym_7_mc_4,1332.0,None,False,acs,1
106,[Lr]n1cc(-c2cc(-c3ccccc3)c(-c3cn([Lr])c(-c4ccccc4)c3-c3ccccc3)c(-c3ccccc3)c2)cn1,0,sym_7_mc_4,1335.0,None,False,acs,1
107,O=S1(=O)c2cc([Lr])cc(-c3ccc(O)cc3)c2-c2c(-c3ccc(O)cc3)cc([Lr])c(-c3ccc(O)cc3)c21,0,sym_7_mc_4,1344.0,None,False,acs,1
108,[Lr]c1ccc(C2=NN=NC(c3c(-n4ccnc4)cc([Lr])c(-n4ccnc4)c3-n3ccnc3)N=N2)c(-n2ccnc2)c1,0,sym_7_mc_4,1355.0,None,False,acs,0
