organic_core,metal_node,topology
sym_4_on_7,sym_8_mc_9,flu
sym_5_vae_84,sym_8_mc_7,scu
sym_3_vae_561,sym_8_mc_9,the
sym_16_mc_6,sym_8_mc_8,ocu
sym_5_vae_304,sym_7_mc_4,stp
sym_4_on_8,sym_8_mc_9,flu
sym_3_vae_403,sym_24_mc_13,rht
sym_3_vae_724,sym_8_mc_9,the
sym_5_vae_1038,sym_8_mc_7,csq
sym_5_vae_218,sym_8_mc_9,csq
sym_5_on_10,sym_7_mc_4,tpt
sym_5_on_12,sym_8_mc_7,csq
sym_4_on_6,sym_13_mc_12,ith
sym_3_on_2,sym_9_mc_5,spn
sym_3_on_2,sym_6_mc_3,pyr
sym_5_on_9,sym_8_mc_9,csq
None,sym_4_mc_1,lcsb
sym_5_vae_218,sym_8_mc_8,csq
sym_5_on_10,sym_8_mc_7,scu
sym_5_vae_70,sym_8_mc_8,csq
sym_3_vae_644,sym_8_mc_9,the
sym_3_vae_644,sym_8_mc_8,the
sym_5_vae_1526,sym_8_mc_8,scu
sym_5_vae_434,sym_8_mc_9,scu
sym_4_vae_107,sym_8_mc_7,flu
sym_5_on_9,sym_7_mc_4,stp
sym_4_vae_153,sym_8_mc_8,flu
sym_5_on_13,sym_8_mc_7,csq
sym_5_vae_BR3264,sym_7_mc_4,stp
sym_5_on_12,sym_7_mc_4,tpt
sym_5_vae_1526,sym_8_mc_7,scu
sym_5_vae_70,sym_7_mc_4,tpt
sym_3_vae_1687,sym_8_mc_7,the
sym_5_vae_795,sym_8_mc_7,csq
sym_3_vae_BR429,sym_9_mc_5,spn
sym_4_vae_2723,sym_16_mc_6,gar
None,sym_4_mc_1,sodb
sym_4_on_7,sym_16_mc_14,gar
sym_5_vae_BR911,sym_8_mc_8,csq
sym_3_vae_2082,sym_9_mc_5,spn
sym_5_on_10,sym_8_mc_9,scu
sym_3_vae_724,sym_8_mc_8,the
sym_5_on_13,sym_7_mc_4,stp
sym_3_vae_561,sym_24_mc_13,rht
sym_3_vae_1687,sym_8_mc_9,the
sym_3_vae_456,sym_6_mc_3,pyr
sym_5_vae_196,sym_8_mc_8,csq
sym_3_vae_192,sym_8_mc_7,the
sym_3_vae_561,sym_9_mc_5,spn
sym_3_vae_1687,sym_6_mc_3,pyr
sym_5_vae_795,sym_8_mc_9,csq
sym_5_on_13,sym_8_mc_9,csq
sym_5_vae_196,sym_7_mc_4,stp
sym_3_vae_192,sym_8_mc_9,the
sym_5_vae_317,sym_8_mc_9,csq
sym_5_vae_196,sym_12_mc_11,ftw
sym_5_vae_304,sym_8_mc_8,scu
sym_5_on_11,sym_12_mc_11,ftw
